model,modelAge,name,age,mileage,state,owners,bodyType,numberOfDoors,fuelType,vehicleTransmission,drive,color,equipment,price,engineDisplacement,enginePower,technicalPassport
5ER,4,530i,2,45357,не битый,1,sedan,4,petrol,AT,4wd,black,,2747000,2.0,249,1
5ER,11,530d,9,172467,не битый,2,sedan,4,diesel,AT,4wd,black,,1310000,3.0,258,1
1ER,9,116i,8,193000,не битый,3,hatchback,5,petrol,AT,rwd,white,Базовая,520000,1.6,136,1
X5,10,30d,8,104153,не битый,1,SUV,5,diesel,AT,4wd,grey,,1759000,3.0,245,1
X6,6,35i,4,42100,не битый,2,SUV,5,petrol,AT,4wd,white,Базовая,2749900,3.0,306,1
X5,17,None,16,260000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,420000,4.8,360,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
5ER,32,540i,31,230000,не битый,3,sedan,4,petrol,MT,rwd,red,Базовая,350000,4.0,286,1
7ER,15,740Li,15,267000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,512000,4.0,306,1
1ER,9,116i,7,84000,не битый,3,hatchback,5,petrol,AT,rwd,white,,499000,1.6,136,1
X5,6,None,5,88500,не битый,2,SUV,5,petrol,AT,4wd,blue,,3690000,4.4,575,1
X5,14,None,12,221300,не битый,1,SUV,5,diesel,AT,4wd,black,Базовая,810000,3.0,286,1
5ER,4,520d,1,73000,не битый,1,sedan,4,diesel,AT,4wd,black,Business,2500000,2.0,190,1
X6,13,50i,9,55468,не битый,2,SUV,5,petrol,AT,4wd,white,Базовая,1100000,4.4,407,1
3ER,12,320d,8,158000,не битый,3,coupe,2,diesel,AT,rwd,blue,Базовая,1000000,2.0,184,1
7ER,19,745Li,18,345000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,380000,4.4,333,1
6ER,17,645i,15,200000,не битый,3,cabriolet,2,petrol,AT,rwd,white,Базовая,890000,4.4,333,1
3ER,9,328i,7,110479,не битый,3,sedan,4,petrol,AT,4wd,dark_blue,Luxury Line,1390000,2.0,245,1
5ER,13,530xi,13,220000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,700000,3.0,272,1
X3,6,20i,5,95000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1540000,2.0,184,1
2ER,3,218i,2,33060,не битый,1,coupe,2,petrol,AT,rwd,white,,1735000,1.5,136,1
7ER,12,750Li,10,245842,не битый,1,sedan,4,petrol,AT,4wd,black,,713000,4.4,407,1
X1,5,20i,5,157900,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Advantage,1380000,2.0,192,1
1ER,9,116i,7,167000,не битый,3,hatchback,5,petrol,AT,rwd,red,Базовая,590000,1.6,136,1
5ER,25,520i,23,314000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,500000,2.0,150,1
4ER,3,430i,3,53000,не битый,1,cabriolet,2,petrol,AT,rwd,black,Base,2300000,2.0,249,1
5ER,18,530i,14,312749,не битый,3,sedan,4,petrol,AT,rwd,black,,587000,3.0,258,1
X3,10,35i,9,110000,не битый,2,SUV,5,petrol,AT,4wd,grey,,1150000,3.0,306,1
X5,10,35i,10,180000,не битый,3,SUV,5,petrol,AT,4wd,black,,960000,3.0,306,1
X5,10,30d,9,150000,не битый,2,SUV,5,diesel,AT,4wd,brown,Exclusive,1770000,3.0,245,1
7ER,19,760Li,16,194000,не битый,2,sedan,4,petrol,AT,rwd,black,Базовая,415000,6.0,445,1
1ER,9,116i,8,170000,не битый,3,hatchback,5,petrol,AT,rwd,white,Базовая,630000,1.6,136,1
5ER,18,525i,14,279898,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,530000,2.5,218,1
X6,13,35d,11,235632,не битый,3,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1070000,3.0,286,1
X5,21,None,20,182000,не битый,3,SUV,5,petrol,AT,4wd,silver,Базовая,349000,3.0,231,1
3ER,15,320d,13,282000,не битый,1,sedan,4,diesel,AT,rwd,black,Базовая,449000,2.0,177,1
X7,2,40i,1,1619,не битый,1,SUV,5,petrol,AT,4wd,grey,Base,6420141,3.0,340,1
X7,2,30d,1,1613,не битый,1,SUV,5,diesel,AT,4wd,black,Base,7070701,3.0,249,1
X3,10,28i,9,93939,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,1000000,3.0,258,1
5ER,20,525i,19,252588,не битый,3,sedan,4,petrol,AT,rwd,green,Базовая,305000,2.5,192,1
X5,14,None,12,283000,не битый,3,SUV,5,diesel,AT,4wd,black,Базовая,940000,3.0,235,1
X5,14,30d,11,198790,не битый,3,SUV,5,diesel,AT,4wd,black,,1069200,3.0,235,1
5ER,18,525i,16,330000,не битый,3,sedan,4,petrol,AT,rwd,dark_blue,Базовая,400000,2.5,192,1
6ER,9,640i,6,68700,не битый,1,coupe,2,petrol,AT,4wd,white,Базовая,1700000,3.0,320,1
X5,6,None,4,50000,не битый,2,SUV,5,petrol,AT,4wd,grey,M,4500000,4.4,575,1
X6,8,35i,7,25000,не битый,1,SUV,5,petrol,AT,4wd,brown,Базовая,2000000,3.0,306,1
5ER,20,520i,17,310635,не битый,2,sedan,4,petrol,AT,rwd,red,Базовая,375000,2.2,170,1
X3,17,30d,16,214700,не битый,2,SUV,5,diesel,AT,4wd,black,Базовая,570000,3.0,204,1
X3,6,20d,6,86000,не битый,2,SUV,5,diesel,AT,4wd,black,Urban,1550000,2.0,190,1
X4,6,20i,3,100000,не битый,2,SUV,5,petrol,AT,4wd,red,,2150000,2.0,184,1
4ER,3,430i,1,9136,не битый,1,hatchback,5,petrol,AT,4wd,dark_blue,Base,2750000,2.0,249,1
X1,5,20i,1,5646,не битый,1,SUV,5,petrol,AT,4wd,white,,2077600,2.0,192,1
7ER,12,750Li,10,209177,не битый,1,sedan,4,petrol,AT,4wd,black,,745000,4.4,407,1
X5,14,30d,12,167809,не битый,3,SUV,5,diesel,AT,4wd,black,,1030000,3.0,235,1
3ER,45,323i,39,200000,не битый,1,sedan,2,petrol,MT,rwd,blue,Базовая,650000,2.2,143,1
5ER,4,530d,2,30000,не битый,2,sedan,4,diesel,AT,4wd,grey,M Sport,3500000,3.0,249,1
5ER,7,520i,6,73700,не битый,2,sedan,4,petrol,AT,rwd,white,Базовая,1330000,2.0,184,1
X5,14,35d,12,245000,не битый,3,SUV,5,diesel,AT,4wd,black,Базовая,1100000,3.0,286,1
3ER,5,320i,3,33300,не битый,1,sedan,4,petrol,AT,4wd,dark_blue,Base,1677000,2.0,184,1
X3,10,30d,8,375859,не битый,2,SUV,5,diesel,AT,4wd,brown,,920000,3.0,249,1
X6,6,30d,3,50869,не битый,1,SUV,5,diesel,AT,4wd,grey,Luxury,3400000,3.0,249,1
5ER,11,520d,8,217000,не битый,3,sedan,4,diesel,AT,rwd,black,Базовая,980000,2.0,184,1
3ER,9,328i,8,165000,не битый,3,sedan,4,petrol,AT,rwd,grey,Luxury Line,790000,2.0,245,1
1ER,13,116i,12,205000,не битый,3,hatchback,3,petrol,AT,rwd,black,Базовая,449000,1.6,115,1
7ER,12,750i,10,137000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,730000,4.4,407,1
5ER,18,525xi,14,159000,не битый,2,sedan,4,petrol,AT,4wd,dark_blue,Базовая,599000,2.5,218,1
X3,17,25i,16,220000,не битый,3,SUV,5,petrol,AT,4wd,grey,Базовая,470000,2.5,192,1
7ER,19,745i,19,220000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,450000,4.4,333,1
7ER,12,750Li,9,186986,не битый,3,sedan,4,petrol,AT,4wd,black,,664830,4.4,407,1
5ER,20,520i,18,217000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,285000,2.2,170,1
3ER,5,320i,3,36801,не битый,1,sedan,4,petrol,AT,4wd,white,M Sport,1852000,2.0,184,1
4ER,7,420d,5,90000,не битый,2,hatchback,5,diesel,AT,4wd,black,Базовая,1410000,2.0,190,1
5ER,20,520i,18,283000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,240000,2.2,170,1
X1,8,18i,6,70000,не битый,2,SUV,5,petrol,AT,rwd,black,Базовая,945000,2.0,150,1
3ER,9,320i,8,89944,не битый,1,sedan,4,petrol,MT,rwd,dark_blue,,1026000,2.0,184,1
5ER,20,525d,18,381000,не битый,3,wagon,5,diesel,AT,rwd,silver,Базовая,280000,2.5,163,1
6ER,9,640d,7,60000,не битый,3,coupe,2,diesel,AT,4wd,dark_blue,Базовая,1600000,3.0,313,1
1ER,9,116i,7,209000,не битый,3,hatchback,5,petrol,AT,rwd,black,Базовая,620000,1.6,136,1
3ER,9,316i,7,181000,не битый,2,sedan,4,petrol,AT,rwd,black,,910000,1.6,136,1
7ER,12,750Li,10,276092,не битый,1,sedan,4,petrol,AT,4wd,black,Базовая,850000,4.4,407,1
X6,13,40d,9,197000,не битый,2,SUV,5,diesel,AT,4wd,silver,Базовая,1200000,3.0,306,1
M5,22,None,21,213000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,1100000,4.9,400,1
X5,14,None,13,204300,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,750000,3.0,272,1
3ER,30,316i,22,328000,не битый,3,hatchback,3,petrol,MT,rwd,black,Базовая,225000,1.6,102,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
7ER,5,750Ld,2,6700,не битый,1,sedan,4,diesel,AT,4wd,black,Base,4780000,3.0,400,1
X5,17,None,15,252000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,700000,3.0,231,1
M5,9,None,7,67000,не битый,3,sedan,4,petrol,AM,rwd,grey,,2248000,4.4,560,1
5ER,11,520i,8,129000,не битый,2,sedan,4,petrol,AT,rwd,brown,SE,960000,2.0,184,1
X1,5,18d,3,39196,не битый,1,SUV,5,diesel,AT,4wd,white,Sport Line,1670000,2.0,150,1
X4,6,20d,4,30048,не битый,2,SUV,5,diesel,AT,4wd,white,,2255000,2.0,190,1
X6,13,50i,11,335000,не битый,3,SUV,5,petrol,AT,4wd,dark_blue,Базовая,699999,4.4,407,1
X5,14,48i,12,172000,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,1500000,4.8,355,1
5ER,7,520i,7,125000,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,1090000,2.0,184,1
6ER,5,640d,4,45000,не битый,3,sedan,4,diesel,AT,4wd,dark_blue,Базовая,2600000,3.0,313,1
X5,7,30d,5,97000,не битый,2,SUV,5,diesel,AT,4wd,grey,M Sport,2350000,3.0,249,1
X5,10,30d,10,135005,не битый,2,SUV,5,diesel,AT,4wd,white,M Sport,1549000,3.0,245,1
3ER,30,320i,27,594000,не битый,3,sedan,4,petrol,MT,rwd,red,Базовая,350000,2.0,150,1
3ER,9,320i,7,128000,не битый,3,sedan,4,petrol,AT,rwd,brown,Luxury Line,1090000,2.0,184,1
3ER,15,320i,12,133000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,470000,2.0,156,1
1ER,9,116i,7,96864,не битый,1,hatchback,5,petrol,AT,rwd,red,Базовая,768000,1.6,136,1
X5,14,30i,13,224700,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,616000,3.0,264,1
X1,11,18i,9,149000,не битый,2,SUV,5,petrol,AT,rwd,white,Urban,630000,2.0,150,1
3ER,12,318i,10,45000,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,930000,2.0,136,1
X6,6,30d,6,56800,не битый,2,SUV,5,diesel,AT,4wd,brown,Prestige,2750000,3.0,249,1
X5,14,None,13,365000,не битый,2,SUV,5,diesel,AT,4wd,grey,Базовая,710000,3.0,235,1
X6,8,None,7,67700,не битый,3,SUV,5,petrol,AT,4wd,dark_blue,,1840000,4.4,555,1
X5,7,40d,3,71082,не битый,2,SUV,5,diesel,AT,4wd,white,,3547368,3.0,313,1
5ER,18,530i,16,300000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,450000,3.0,231,1
X5,10,35d,10,110000,не битый,1,SUV,5,diesel,AT,4wd,white,Базовая,1500000,3.0,265,1
7ER,8,740Li,6,98000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,1099000,3.0,320,1
7ER,8,740Li,6,98000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,1099000,3.0,320,1
X5,14,30d,12,167809,не битый,3,SUV,5,diesel,AT,4wd,black,,1030000,3.0,235,1
X1,5,18i,2,21873,не битый,1,SUV,5,petrol,AT,fwd,brown,Advantage,1699000,1.5,136,1
7ER,8,740Li,5,89905,не битый,2,sedan,4,petrol,AT,4wd,dark_blue,Базовая,1699000,3.0,320,1
5ER,11,520i,7,215000,не битый,2,sedan,4,petrol,AT,rwd,white,SE,1100000,2.0,184,1
3ER,9,328i,8,153000,не битый,1,sedan,4,petrol,AT,rwd,silver,Luxury Line,1100000,2.0,245,1
1ER,13,120d,12,196000,не битый,3,hatchback,3,diesel,AT,rwd,white,Базовая,540000,2.0,177,1
X6,13,35i,9,77000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1890000,3.0,306,1
3ER,9,328i,9,229600,не битый,3,sedan,4,petrol,AT,rwd,white,,1070000,2.0,245,1
X5,7,35i,4,56000,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Pure Excellence,2540000,3.0,306,1
3ER,9,320i,6,93300,не битый,2,sedan,4,petrol,AT,rwd,black,Базовая,1149000,2.0,184,1
X5,17,None,16,167000,не битый,3,SUV,5,petrol,AT,4wd,silver,Базовая,450000,3.0,231,1
X4,2,30d,1,22073,не битый,1,SUV,5,diesel,AT,4wd,dark_blue,M Sport,3650000,3.0,249,1
X3,3,M40d,1,6990,не битый,1,SUV,5,diesel,AT,4wd,black,Base,4600000,3.0,326,1
X1,5,18d,3,28247,не битый,1,SUV,5,diesel,AT,4wd,black,Base,1870000,2.0,150,1
5ER,7,528i,6,99900,не битый,1,sedan,4,petrol,AT,4wd,grey,Business Локальная сборка,1350000,2.0,245,1
3ER,12,318i,9,165000,не битый,2,sedan,4,petrol,AT,rwd,black,Базовая,800000,2.0,136,1
X6,6,35i,5,85000,не битый,1,SUV,5,petrol,AT,4wd,black,,2550000,3.0,306,1
8ER,2,840d,1,11461,не битый,2,coupe,2,diesel,AT,4wd,dark_blue,Base,5850000,3.0,320,1
X6,6,30d,5,65355,не битый,2,SUV,5,diesel,AT,4wd,white,Luxury,2974000,3.0,249,1
5ER,7,520i,7,131000,не битый,2,sedan,4,petrol,AT,rwd,grey,SE Локальная сборка,1149000,2.0,184,1
7ER,8,740Li,5,162044,не битый,3,sedan,4,petrol,AT,4wd,black,Базовая,1200000,3.0,320,1
X6,11,None,11,165000,не битый,3,SUV,5,petrol,AT,4wd,black,M,1350000,4.4,555,1
5ER,4,520d,3,105000,не битый,2,sedan,4,diesel,AT,rwd,black,Business,2100000,2.0,190,1
6ER,17,630i,15,153000,не битый,3,coupe,2,petrol,AT,rwd,black,Базовая,600000,3.0,258,1
X5,10,30d,9,170000,не битый,2,SUV,5,diesel,AT,4wd,black,Luxury,1600000,3.0,245,1
X5,7,25d,5,66014,не битый,1,SUV,5,diesel,AT,4wd,brown,,2364000,3.0,218,1
X5,21,None,17,200000,не битый,3,SUV,5,petrol,AT,4wd,blue,Базовая,490000,4.4,286,1
X3,6,20i,6,75100,не битый,2,SUV,5,petrol,AT,4wd,black,Urban,1400000,2.0,184,1
5ER,4,520d,2,29820,не битый,1,sedan,4,diesel,AT,4wd,black,Base,2300000,2.0,190,1
5ER,18,545i,16,240000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,650000,4.4,333,1
5ER,7,520i,6,102760,не битый,2,sedan,4,petrol,AT,rwd,black,Базовая,1359000,2.0,184,1
X1,5,18d,3,22190,не битый,1,SUV,5,diesel,AT,4wd,black,,1815000,2.0,150,1
X3,14,30d,13,192000,не битый,3,SUV,5,diesel,AT,4wd,grey,Базовая,700000,3.0,218,1
X6,13,50i,12,184000,не битый,1,SUV,5,petrol,AT,4wd,red,Базовая,899000,4.4,407,1
X5,2,30d,1,6000,не битый,1,SUV,5,diesel,AT,4wd,white,,5350000,3.0,249,1
X5,2,30d,1,10000,не битый,1,SUV,5,diesel,AT,4wd,black,,6000000,3.0,249,1
X3,10,20d,8,205231,не битый,3,SUV,5,diesel,AT,4wd,red,,912890,2.0,184,1
X1,11,20d,9,215435,не битый,3,SUV,5,diesel,AT,4wd,white,Lifestyle,720000,2.0,177,1
X1,8,18i,7,21104,не битый,1,SUV,5,petrol,AT,rwd,biege,Базовая,805000,2.0,150,1
5ER,11,535i,8,114000,не битый,2,hatchback,5,petrol,AT,4wd,dark_blue,Базовая,1240000,3.0,306,1
5ER,7,520i,7,133652,не битый,3,sedan,4,petrol,AT,rwd,black,,865000,2.0,184,1
3ER,9,320i,8,89944,не битый,1,sedan,4,petrol,MT,rwd,dark_blue,,1026000,2.0,184,1
3ER,19,316i,18,379090,не битый,3,wagon,5,petrol,MT,rwd,black,Базовая,300000,1.8,116,1
X5,21,None,17,253000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,500000,4.4,286,1
5ER,18,530i,15,359705,не битый,1,sedan,4,petrol,AT,rwd,black,Базовая,480000,3.0,258,1
X1,5,20i,2,43500,не битый,1,SUV,5,petrol,AT,4wd,white,M Sport,1879000,2.0,192,1
X5,7,M50d,6,83609,не битый,1,SUV,5,diesel,AT,4wd,dark_blue,Базовая,3399000,3.0,381,1
5ER,13,530i,12,127040,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,629000,3.0,272,1
3ER,22,330i,20,132000,не битый,3,coupe,2,petrol,AT,rwd,black,Базовая,260000,3.0,231,1
3ER,22,330xi,18,228000,не битый,3,sedan,4,petrol,AT,4wd,violet,Базовая,410000,3.0,231,1
5ER,7,530d,4,81000,не битый,2,sedan,4,diesel,AT,4wd,white,Luxury Локальная сборка,1950000,3.0,258,1
1ER,13,116i,10,101740,не битый,2,hatchback,3,petrol,AT,rwd,red,,477900,1.6,115,1
7ER,26,735i,23,250000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,365000,3.5,235,1
5ER,4,520d,3,41000,не битый,1,sedan,4,diesel,AT,rwd,white,Base,2190000,2.0,190,1
5ER,20,520i,17,310635,не битый,2,sedan,4,petrol,AT,rwd,red,Базовая,375000,2.2,170,1
X1,5,20i,1,5646,не битый,1,SUV,5,petrol,AT,4wd,white,,2077600,2.0,192,1
X5,17,None,14,192000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,640000,4.8,360,1
3ER,12,320i,8,175000,не битый,3,sedan,4,petrol,AT,rwd,black,Edition Exclusive,720000,2.0,156,1
3ER,5,320i,3,31100,не битый,1,sedan,4,petrol,AT,4wd,orange,M Sport,1820000,2.0,184,1
3ER,12,318i,12,197000,не битый,2,sedan,4,petrol,AT,rwd,black,Базовая,510000,2.0,136,1
1ER,9,116i,7,102521,не битый,3,hatchback,5,petrol,AT,rwd,dark_blue,,728000,1.6,136,1
X1,8,20d,6,102178,не битый,1,SUV,5,diesel,AT,4wd,grey,,980000,2.0,184,1
3ER,12,318i,9,170000,не битый,3,sedan,4,petrol,AT,rwd,white,Базовая,720000,2.0,136,1
X4,2,20i,2,9878,не битый,2,SUV,5,petrol,AT,4wd,black,,2900000,2.0,184,1
X3,3,20d,2,1100,не битый,1,SUV,5,diesel,AT,4wd,white,,2901667,2.0,190,1
X1,8,18i,7,120000,не битый,2,SUV,5,petrol,AT,rwd,black,Базовая,815000,2.0,150,1
X6,8,35i,8,220000,не битый,2,SUV,5,petrol,AT,4wd,black,Базовая,1200000,3.0,306,1
X1,5,20i,5,119000,не битый,2,SUV,5,petrol,AT,4wd,white,Xline,1300000,2.0,192,1
5ER,4,520d,3,98000,не битый,1,sedan,4,diesel,AT,rwd,black,Sport Line,1900009,2.0,190,1
X5,17,None,15,340000,не битый,3,SUV,5,diesel,AT,4wd,grey,Базовая,685000,3.0,218,1
X5,14,30i,13,255000,не битый,2,SUV,5,petrol,AT,4wd,dark_blue,Базовая,740000,3.0,264,1
1ER,13,116i,12,110000,не битый,3,hatchback,5,petrol,AT,rwd,red,Базовая,350000,1.6,115,1
5ER,11,528i,8,252000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,890000,2.0,245,1
X5,14,30d,11,198790,не битый,3,SUV,5,diesel,AT,4wd,black,,1069200,3.0,235,1
5ER,7,520d,7,125000,не битый,2,sedan,4,diesel,AT,rwd,black,Базовая,1250000,2.0,184,1
X1,8,20i,8,88150,не битый,2,SUV,5,petrol,AT,4wd,dark_blue,xLine,870000,2.0,184,1
X1,8,20i,8,88150,не битый,2,SUV,5,petrol,AT,4wd,dark_blue,xLine,870000,2.0,184,1
7ER,8,740Li,7,205000,не битый,1,sedan,4,petrol,AT,4wd,black,Базовая,1300000,3.0,320,1
7ER,8,750Li,7,122000,не битый,3,sedan,4,petrol,AT,4wd,black,Базовая,1070000,4.4,450,1
3ER,9,320i,6,125000,не битый,2,sedan,4,petrol,AT,4wd,dark_blue,Sport,980000,2.0,184,1
X5,14,None,11,49000,не битый,3,SUV,5,petrol,AT,4wd,grey,Базовая,1099000,3.0,264,1
X7,2,40i,1,789,не битый,1,SUV,5,petrol,AT,4wd,black,M Sport Pure,6200000,3.0,340,1
M5,22,None,21,213000,не битый,3,sedan,4,petrol,MT,rwd,dark_blue,Базовая,1100000,4.9,400,1
7ER,12,740d,9,134207,не битый,3,sedan,4,diesel,AT,rwd,black,Базовая,1299000,3.0,306,1
5ER,20,520i,19,410000,не битый,3,sedan,4,petrol,MT,rwd,green,Базовая,270000,2.2,170,1
X5,14,30i,12,167000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,1100000,3.0,264,1
5ER,11,520d,9,170000,не битый,3,sedan,4,diesel,AT,rwd,biege,Базовая,995000,2.0,184,1
X6,8,30d,7,218000,не битый,1,SUV,5,diesel,AT,4wd,black,Базовая,1650000,3.0,245,1
4ER,3,430i,3,49653,не битый,2,hatchback,5,petrol,AT,4wd,grey,,2167000,2.0,249,1
5ER,11,520i,8,129000,не битый,3,sedan,4,petrol,AT,rwd,white,Базовая,899000,2.0,184,1
X6,13,ActiveHybrid,10,73000,не битый,3,SUV,5,hybrid,AT,4wd,black,Базовая,1250000,4.4,407,1
6ER,9,640i,7,102000,не битый,2,sedan,4,petrol,AT,4wd,biege,Базовая,2050000,3.0,320,1
5ER,25,528i,22,518000,не битый,3,sedan,4,petrol,AT,rwd,green,Базовая,175000,2.8,193,1
X6,6,M50d,6,114172,не битый,1,SUV,5,diesel,AT,4wd,black,,2790000,3.0,381,1
8ER,2,840d,2,5979,не битый,1,coupe,2,diesel,AT,4wd,black,,5612000,3.0,320,1
X6,13,35d,10,93000,не битый,2,SUV,5,diesel,AT,4wd,black,Базовая,1450000,3.0,286,1
X5,17,None,15,302000,не битый,3,SUV,5,petrol,AT,4wd,biege,Базовая,370000,4.4,320,1
5ER,20,530i,18,370000,не битый,3,sedan,4,petrol,AT,rwd,silver,Базовая,430000,3.0,231,1
7ER,8,730d,7,138000,не битый,2,sedan,4,diesel,AT,4wd,black,,1755000,3.0,258,1
X5,10,35i,9,143000,не битый,3,SUV,5,petrol,AT,4wd,brown,Exclusive,1050000,3.0,306,1
5ER,44,520,40,200000,не битый,3,sedan,4,petrol,MT,rwd,brown,Базовая,80000,2.0,115,1
X5,21,None,18,255000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,455000,3.0,231,1
3ER,22,323i,20,289000,не битый,3,coupe,2,petrol,AT,rwd,red,Базовая,450000,2.5,170,1
X5,14,30i,13,334495,не битый,3,SUV,5,petrol,AT,4wd,grey,Базовая,670000,3.0,272,1
5ER,7,520d,4,165000,не битый,3,sedan,4,diesel,AT,rwd,black,SE Локальная сборка,1500000,2.0,190,1
X5,7,35i,5,92700,не битый,2,SUV,5,petrol,AT,4wd,black,Luxury,2680000,3.0,306,1
7ER,43,728i,42,200000,не битый,2,sedan,4,petrol,MT,rwd,green,Базовая,250000,2.8,184,1
3ER,9,328i,8,149000,не битый,2,sedan,4,petrol,AT,rwd,red,Luxury Line,880000,2.0,245,1
X6,13,30d,8,63500,не битый,1,SUV,5,diesel,AT,4wd,black,Базовая,1950000,3.0,245,1
X3,14,25i,10,112519,не битый,2,SUV,5,petrol,AT,4wd,biege,,743000,2.5,218,1
3ER,12,318i,10,160000,не битый,3,sedan,4,petrol,AT,rwd,grey,SE,525000,2.0,136,1
3ER,15,320i,14,161000,не битый,3,sedan,4,petrol,AT,rwd,red,,460000,2.0,150,1
X6,6,30d,4,208000,не битый,2,SUV,5,diesel,AT,4wd,brown,,3333333,3.0,249,1
3ER,30,316i,25,376000,не битый,3,hatchback,3,petrol,MT,rwd,red,Базовая,99900,1.6,102,1
M5,16,None,12,164000,не битый,3,sedan,4,petrol,AM,rwd,dark_blue,Базовая,1970000,5.0,507,1
X6,6,30d,5,95628,не битый,2,SUV,5,diesel,AT,4wd,black,Luxury,2759000,3.0,249,1
7ER,12,740i,11,195000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,800000,3.0,326,1
3ER,9,320i,7,99500,не битый,3,sedan,4,petrol,AT,4wd,white,,1080000,2.0,184,1
M5,16,None,13,155459,не битый,3,sedan,4,petrol,AM,rwd,silver,Базовая,1500000,5.0,507,1
5ER,7,520d,6,113500,не битый,2,sedan,4,diesel,AT,rwd,grey,Базовая,1250000,2.0,190,1
X3,6,20i,6,104883,не битый,2,SUV,5,petrol,AT,4wd,black,,1317000,2.0,184,1
8ER,31,None,30,163000,не битый,3,coupe,2,petrol,AT,rwd,green,Базовая,2280000,5.0,300,1
5ER,20,530i,19,110000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,900000,3.0,231,1
X5,14,None,12,244000,не битый,2,SUV,5,diesel,AT,4wd,black,Базовая,800000,3.0,286,1
3ER,9,316i,5,99000,не битый,3,sedan,4,petrol,AT,rwd,black,SE,970000,1.6,136,1
X6,6,40d,2,12504,не битый,1,SUV,5,diesel,AT,4wd,grey,M Sport,3800000,3.0,313,1
X3,14,30i,12,155600,не битый,2,SUV,5,petrol,AT,4wd,black,Exclusive,649000,3.0,272,1
X1,11,18i,10,170000,не битый,3,SUV,5,petrol,AT,rwd,white,Urban,649000,2.0,150,1
5ER,7,520d,6,224000,не битый,2,sedan,4,diesel,AT,rwd,white,Базовая,1079000,2.0,184,1
3ER,9,320i,6,102200,не битый,2,sedan,4,petrol,AT,rwd,silver,,1049000,2.0,184,1
3ER,12,318i,12,140000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,450000,2.0,136,1
3ER,9,320i,7,144795,не битый,2,sedan,4,petrol,AT,rwd,white,SE,1250000,2.0,184,1
3ER,9,320i,7,141800,не битый,2,hatchback,5,petrol,AT,4wd,white,Базовая,935000,2.0,184,1
1ER,3,118i,2,67000,не битый,1,hatchback,5,petrol,AT,rwd,dark_blue,M Sport Model,1489999,1.5,136,1
3ER,9,328i,8,149000,не битый,2,sedan,4,petrol,AT,rwd,red,Luxury Line,880000,2.0,245,1
X5,10,30d,9,205090,не битый,3,SUV,5,diesel,AT,4wd,dark_blue,,1320000,3.0,245,1
X4,6,20d,3,37400,не битый,2,SUV,5,diesel,AT,4wd,black,M Sport,2530000,2.0,190,1
X5,17,None,15,238000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,699000,3.0,231,1
6ER,5,640d,4,43777,не битый,3,coupe,2,diesel,AT,4wd,dark_blue,Базовая,2790777,3.0,313,1
X3,14,20i,11,281000,не битый,2,SUV,5,petrol,MT,4wd,white,Базовая,670000,2.0,150,1
